id,title,original_language,release_date,vote_average,popularity,adult
238,The Godfather,en,1972-03-14,8.7,114574,False
278,The Shawshank Redemption,en,1994-09-23,8.7,91998,False
240,The Godfather Part II,en,1974-12-20,8.6,61490,False
19404,Dilwale Dulhania Le Jayenge,hi,1995-10-20,8.6,28989,False
424,Schindler's List,en,1993-12-15,8.6,43764,False
569094,Spider-Man: Across the Spider-Verse,en,2023-05-31,8.6,1586317,False
389,12 Angry Men,en,1957-04-10,8.5,37808,False
129,Spirited Away,ja,2001-07-20,8.5,72546,False
372058,Your Name.,ja,2016-08-26,8.5,83288,False
496243,Parasite,ko,2019-05-30,8.5,62319,False
497,The Green Mile,en,1999-12-10,8.5,66633,False
155,The Dark Knight,en,2008-07-14,8.5,92305,False
772071,Cuando Sea Joven,es,2022-09-14,8.5,18721,False
680,Pulp Fiction,en,1994-09-10,8.5,64962,False
13,Forrest Gump,en,1994-06-23,8.5,63376,False
429,"The Good, the Bad and the Ugly",it,1966-12-23,8.5,55566,False
122,The Lord of the Rings: The Return of the King,en,2003-12-01,8.5,75830,False
704264,Primal: Tales of Savagery,en,2019-11-21,8.5,16109,False
769,GoodFellas,en,1990-09-12,8.5,45908,False
11216,Cinema Paradiso,it,1988-11-17,8.5,31799,False
346,Seven Samurai,ja,1954-04-26,8.5,26436,False
696374,Gabriel's Inferno,en,2020-05-29,8.5,20108,False
637,Life Is Beautiful,it,1997-12-20,8.5,37286,False
12477,Grave of the Fireflies,ja,1988-04-16,8.5,600,False
995133,"The Boy, the Mole, the Fox and the Horse",en,2022-12-25,8.5,18708,False
539,Psycho,en,1960-06-22,8.4,51723,False
372754,Dou kyu sei – Classmates,ja,2016-02-20,8.4,16140,False
311,Once Upon a Time in America,en,1984-05-23,8.4,33891,False
620249,The Legend of Hei,zh,2019-08-27,8.4,11869,False
724089,Gabriel's Inferno: Part II,en,2020-07-31,8.4,30198,False
667257,Impossible Things,es,2021-06-17,8.4,10116,False
550,Fight Club,en,1999-10-15,8.4,76405,False
